,0,1
0,VVI,30.38
1,BIRD,3.34
2,LSPRW,0.0845
3,PCCTW,0.0375
4,CYRX,28.97
5,CMRX,1.82
6,KRYS,77.78
7,ERESW,0.18
8,INBK,25.79
9,AWR,93.9
10,EMCGU,10.2
11,ITAQW,0.0103
12,HI,45.67
13,TGVC,10.04
14,FORM,20.0
15,GCMG,8.25
16,LCAHW,0.12
17,BREZW,0.026
18,ETD,29.22
19,IDRA,0.3892
20,HSAQ,9.98
21,OCUP,2.46
22,SIGA,9.24
23,HYLN,2.985
24,PLYM,19.85
25,PBI^B,19.0
26,GD,245.685
27,AMTB,29.95
28,CVEO,30.81
29,EUCRW,0.0539
30,ITRI,49.37
31,RRR,41.1
32,JUN,10.045
33,LOKM,9.96
34,MEIP,0.349
35,IESC,34.25
36,BACA,9.99
37,CDR^B,10.4893
38,SYY,84.88
39,SHO^I,19.74
40,UZF,17.475
41,TRTN^D,23.265
42,ACEVW,0.0885
43,BTO,36.2232
44,FINW,9.4175
45,VOYA,67.34
46,EMR,95.77
47,ARDX,1.45
48,HCMAU,10.13
49,INVA,13.57
50,WFC^Q,23.43
51,MD,16.325
52,QBTS,2.632
53,OPGN,0.1883
54,HIW,30.02
55,SJI,34.24
56,SBGI,18.09
57,TNC,65.92
58,TWO^C,19.43
59,FIX,122.055
60,GLP^A,25.7
61,ONBPO,26.0
62,STRE,9.99
63,WMC,8.1
64,VSACU,10.13
65,RCMT,17.44
66,LITTU,9.85
67,SAIC,109.2
68,GACQW,0.1
69,ARDS,0.978
70,TXG,27.38
71,PHICW,0.009
72,BPTH,3.28
73,WELL,71.27
74,AIRG,7.26
75,RTLPO,19.38
76,SPGS,10.015
77,NAC,10.815
78,GHACW,0.0111
79,AEHAW,0.11
80,BWA,42.59
81,BVH,21.1451
82,EPAC,25.98
83,PASG,1.28
84,SVII,10.06
85,IQMD,10.145
86,DFS,108.53
87,PEPLU,10.04
88,EPAM,352.69
89,ONVO,1.77
90,IONQ,5.83
91,UG,13.93
92,BF/B,69.65
93,VIVO,32.01
94,APYX,4.89
95,FAM,5.535
96,HCMA,10.13
97,TMKR,10.05
98,JEMD,6.61
99,UONEK,4.96
100,KAI,184.07
101,DTE,115.09
102,ATH^B,21.76
103,ELV,495.5
104,REXR,54.98
105,BIG,19.18
106,ONON,19.33
107,CRM,156.191
108,TTC,112.02
109,IVZ,19.75
110,POOL,318.77
111,VIAV,15.25
112,STCN,1.38
113,SHYF,22.72
114,WCC^A,27.12
115,FCCO,18.72
116,OSUR,4.31
117,EGIO,2.74
118,RCLF,9.92
119,BACK,0.4075
120,NIO,11.5001
121,ACABU,10.05
122,EVTL,3.72
123,THCPU,9.77
124,USIO,2.04
125,FIVN,60.48
126,OG,0.2377
127,CDR^C,9.65
128,AAM^A,23.45
129,BRDG,15.63
130,ALXO,12.51
131,ATCO^D,23.33
132,GS^A,19.1717
133,HFWA,32.85
134,SHLS,22.21
135,GOEVW,0.3131
136,CAL,26.89
137,TCOA,9.91
138,HYMC,0.6628
139,MGAM,1.22
140,PEB^F,19.71
141,REVBU,0.38
142,TETC,9.9
143,AESE,1.1787
144,WTMA,10.03
145,OCAXW,0.024
146,LUV,38.165
147,MMI,37.625
148,CYD,7.4489
149,PEP,182.23
150,AFAQW,0.07
151,MPW,12.696
152,UTRS,0.382
153,SDC,0.7174
154,CURI,1.23
155,DECA,10.15
156,NSTG,10.5
157,PCTTU,11.1
158,DFLIW,0.24
159,MANH,120.31
160,FFC,15.3977
161,AVD,22.75
162,TYRA,7.05
163,MLR,27.45
164,CREX,0.63
165,WHG,10.95
166,MSC,2.21
167,BMN,25.35
168,MIRM,23.83
169,LYG,2.04
170,BXRX,0.2027
171,LMACW,0.05
172,AIP,5.51
173,ANAB,28.89
174,NCACW,0.0201
175,SHCAW,0.04
176,CSBR,7.08
177,LAZR,7.83
178,DHC,1.3
179,PMTS,20.3
180,EIC,15.915
181,KMB,129.12
182,JOUT,52.45
183,RPT,10.85
184,AVA,38.49
185,LSCC,51.13
186,ATRC,41.91
187,USDP,4.15
188,ANGN,1.0
189,TNP^D,23.55
190,MS^I,25.13
191,NVAC,9.95
192,BC^B,26.14
193,FTAIO,18.9187
194,AXAC,10.22
195,EZFL,0.6165
196,SCE^K,20.41
197,TECK,34.29
198,DNLI,29.62
199,GLOB,185.88
200,EB,7.175
201,BOE,9.56
202,BHP,58.72
203,SAGE,38.22
204,MONCU,9.91
205,GGB,5.9801
206,ACM,79.49
207,JMIA,4.935
208,CGA,5.445
209,ONDS,3.87
210,AIRC,37.64
211,ACCO,5.45
212,VCXA,10.04
213,MITK,11.06
214,LHX,222.84
215,EXK,3.53
216,FBIZ,36.65
217,INDIW,1.87
218,GFGD,9.91
219,SLGC,3.3
220,HIX,4.8099
221,SRDX,33.59
222,BYN,10.08
223,LMAO,12.35
224,OSTRW,0.0163
225,MDV^A,21.1199
226,XOS,1.08
227,VMGA,10.06
228,BNOX,8.25
229,AIMC,60.1
230,ACQRU,9.98
